;ResponseId;deception;deception_coded
3;R_33eBqLAmc34mxV0;no;no
4;R_3oGTWGKBXr0CgsZ;No, I did not.;no
5;R_5ELOnvC8rQiwTlL;No;no
6;R_8fK232ReFGQwSlX;I suspect this isn't an actual radio show. ;yes
7;R_5NnxfO45rqtP1C1;;NA
8;R_74lKANudWBO3FyV;No, not really.;no
9;R_2MTiXfIpsajnGxr;I assume the script was written by the investigators.;yes
10;R_77Yono7jBkiFNjb;;NA
11;R_7M5JLJeaOU6xC6h;No.;no
12;R_6eldy3WP9JsBYGW;;NA
13;R_2E7hhm7JgcTPpxL;no;no
14;R_1XmqidvV2AmWh58;no;no
15;R_7S82WFcbphjZPpP;;NA
16;R_7kpHozsq2jukzRi;I think the most important part was the slider for republican vs democrat at the begging and the end.;no
17;R_3NCF5brgG29vUkr;No ;no
18;R_2Umyxn0pDIdxwqJ;;NA
19;R_3JtenaVF0TcwUlH;;NA
20;R_2kLBHQIX6oIABfn;;NA
21;R_7Y37TG1YLqbjspx;No;no
22;R_272JStxtEQkrSsL;Yes. No way in hell was that a real transcript. ;yes
23;R_1GxgnrtA400g8oh;no;no
24;R_5Pvf9ARrunVSoV1;I assume it's not a transcript at all, but was written by the researcher ;yes
25;R_308IA3dCZ5bqG53;No, was I?;no
26;R_2GWCvVJoJWeXZdd;No;no
27;R_2BTi8CqhKRps4yB;No;no
28;R_3iWyyeuMaJphh5v;No;no
29;R_21bpcPyvGS6axr3;no;no
30;R_15kV4iZWAjKT1fj;No;no
31;R_7d4Dlj2NudfH8R7;no;no
32;R_5n00zDQEhfbNvGw;Maybe,it’s probably not a real radio show;yes
33;R_27VELn1ee6eb3cB;;NA
34;R_5wFIyxft3EYYnVT;I didn't suspect, but now I wonder if the transcripts were from real people.;no
35;R_1B2TWHHg8aXkKYv;"not really, but I definitely feel like you'll look at my own self-reported pol;itical leanings and use it to confirm your hypothesis about my responses";no
36;R_57jR8tmvDXpAqGp;No;no
37;R_7CZqc1IdtIkOjDu;Possibly. A lot of media proports to be less scripted than it is.;yes
38;R_2Mg5TitdQfDfWNr;no;no
39;R_2QZZuhqAu4W8wrn;no;no
40;R_5aDAmpf6r0ypXix;No.;no
41;R_5S0pSj5349tTZ5W;no;no
42;R_7MnswACd2Ia6U6Z;yes;yes
43;R_3gXuMzmluA3hdBL;none;no
44;R_5h9kISl5PnoTzvX;I did not suspect that I was deceived.;no
